11.01032 2.15E-07 5.74E-08
11.09122 2.17E-07 5.78E-08
11.17271 2.19E-07 5.83E-08
11.2548 2.21E-07 5.87E-08
11.3375 2.23E-07 5.92E-08
11.4208 2.25E-07 5.96E-08
11.50471 2.27E-07 6.01E-08
11.58924 2.29E-07 6.05E-08
11.67439 2.31E-07 6.10E-08
11.76017 2.33E-07 6.15E-08
11.84657 2.35E-07 6.19E-08
11.93361 2.38E-07 6.24E-08
12.0213 2.40E-07 6.29E-08
12.10962 2.42E-07 6.34E-08
12.1986 2.44E-07 6.38E-08
12.28822 2.46E-07 6.43E-08
12.37851 2.49E-07 6.48E-08
12.46946 2.51E-07 6.53E-08
12.56108 2.53E-07 6.58E-08
12.65337 2.55E-07 6.63E-08
12.74634 2.58E-07 6.68E-08
12.83999 2.60E-07 6.73E-08
12.93433 2.62E-07 6.78E-08
13.02937 2.65E-07 6.83E-08
13.1251 2.67E-07 6.88E-08
13.22153 2.70E-07 6.93E-08
13.31868 2.72E-07 6.98E-08
13.41653 2.74E-07 7.03E-08
13.51511 2.77E-07 7.08E-08
13.61441 2.79E-07 7.13E-08
13.71444 2.82E-07 7.19E-08
13.81521 2.84E-07 7.24E-08
13.91671 2.87E-07 7.29E-08
14.01897 2.89E-07 7.34E-08
14.12197 2.92E-07 7.40E-08
14.22573 2.95E-07 7.45E-08
14.33025 2.97E-07 7.50E-08
14.43554 3.00E-07 7.56E-08
14.5416 3.02E-07 7.61E-08
14.64845 3.05E-07 7.67E-08
14.75607 3.08E-07 7.72E-08
14.86449 3.10E-07 7.78E-08
14.97371 3.13E-07 7.83E-08
15.08373 3.16E-07 7.89E-08
15.19455 3.19E-07 7.94E-08
15.30619 3.21E-07 8.00E-08
15.41865 3.24E-07 8.05E-08
15.53194 3.27E-07 8.11E-08
15.64606 3.30E-07 8.17E-08
15.76102 3.33E-07 8.22E-08
15.87682 3.36E-07 8.28E-08
15.99347 3.38E-07 8.34E-08
16.11099 3.41E-07 8.40E-08
16.22936 3.44E-07 8.45E-08
16.3486 3.47E-07 8.51E-08
16.46872 3.50E-07 8.57E-08
16.58972 3.53E-07 8.63E-08
16.71162 3.56E-07 8.69E-08
16.8344 3.59E-07 8.75E-08
16.95809 3.62E-07 8.81E-08
17.08269 3.65E-07 8.87E-08
17.2082 3.69E-07 8.93E-08
17.33464 3.72E-07 8.99E-08
17.462 3.75E-07 9.05E-08
17.5903 3.78E-07 9.11E-08
17.71955 3.81E-07 9.17E-08
17.84974 3.84E-07 9.23E-08
17.98089 3.88E-07 9.29E-08
18.113 3.91E-07 9.35E-08
18.24609 3.94E-07 9.41E-08
18.38015 3.97E-07 9.48E-08
18.51519 4.01E-07 9.54E-08
18.65123 4.04E-07 9.60E-08
18.78827 4.07E-07 9.66E-08
18.92631 4.11E-07 9.73E-08
19.06537 4.14E-07 9.79E-08
19.20545 4.18E-07 9.85E-08
19.34656 4.21E-07 9.92E-08
19.48871 4.24E-07 9.98E-08
19.6319 4.28E-07 1.00E-07
19.77615 4.31E-07 1.01E-07
19.92145 4.35E-07 1.02E-07
20.06782 4.39E-07 1.02E-07
20.21527 4.42E-07 1.03E-07
20.3638 4.46E-07 1.04E-07
20.51342 4.49E-07 1.04E-07
20.66414 4.53E-07 1.05E-07
20.81597 4.57E-07 1.06E-07
20.96891 4.60E-07 1.06E-07
21.12298 4.64E-07 1.07E-07
21.27818 4.68E-07 1.08E-07
21.43451 4.72E-07 1.08E-07
21.592 4.75E-07 1.09E-07
21.75065 4.79E-07 1.10E-07
21.91046 4.83E-07 1.10E-07
22.07144 4.87E-07 1.11E-07
22.23361 4.91E-07 1.12E-07
22.39697 4.95E-07 1.12E-07
22.56153 4.99E-07 1.13E-07
22.7273 5.03E-07 1.14E-07
22.89428 5.06E-07 1.14E-07
23.0625 5.10E-07 1.15E-07
23.23195 5.15E-07 1.16E-07
23.40264 5.19E-07 1.17E-07
23.57459 5.23E-07 1.17E-07
23.7478 5.27E-07 1.18E-07
23.92229 5.31E-07 1.19E-07
24.09805 5.35E-07 1.19E-07
24.27511 5.39E-07 1.20E-07
24.45347 5.43E-07 1.21E-07
24.63314 5.48E-07 1.21E-07
24.81413 5.52E-07 1.22E-07
24.99645 5.56E-07 1.23E-07
